프로젝트명,대항목,순서,작업내용,상태,비고,첨부,업데이트일
SLH1 #5호기,반복정밀도,1,"LD/ULD Hand X,Y축 반복도(±0.05mm) 측정 (10회)
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,반복정밀도,2,"LD/ULD Hand Transfer X,Z축 반복도(±0.05mm) 측정 (10회)
 -> Digital Indicator (0.001mm) 사용",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,반복정밀도,3,"Bottom Feeder X축 반복도(±0.05mm) 측정 (10회)
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,환경안전,1,"Ionizer Loader A-01, Unloader A-02 설정",✅ 완료,,,최염광 (26-03-10)
SLH1 #5호기,환경안전,2,접지 연결 및 확인,✅ 완료,,,최염광 (26-03-10)
SLH1 #5호기,환경안전,3,LD/ULD Conveyor Inverter 장착 Pannel 모서리 안전띠 부착,✅ 완료,,,최염광 (26-03-10)
SLH1 #5호기,환경안전,4,Motor Belt Tension 조정 및 측정,✅ 완료,,,최염광 (26-03-10)
SLH1 #5호기,환경안전,5,"Door Safety Check, EMS 완료.",✅ 완료,,,최염광 (26-03-10)
SLH1 #5호기,환경안전,6,환경 검수 List 확인 및 품질팀 Support,✅ 완료,,,최염광 (26-03-10)
SLH1 #5호기,환경안전,7,"후면부 덕트 -> 측면(Door) -> 후면(Door) -> 상부 Cover 장착 -> 부속 Cover 장착, Door Key, Door Sensor 장착 및 OS 확인",✅ 완료,,,최염광 (26-03-10)
SLH1 #5호기,Runnning,1,"Transfer, Hand, Middle Feeder, Input, Output Motor Teaching",✅ 완료,,,최염광 (26-03-07)
